order_no,customer_name,item_sku,qty_requested
ORD-2024-001,Acme Corporation,WIDGET-001,250
ORD-2024-001,Acme Corporation,GADGET-001,300
ORD-2024-002,TechCo Industries,WIDGET-002,120
ORD-2024-002,TechCo Industries,PART-002,150
ORD-2024-003,Global Manufacturing,MATERIAL-001,900
ORD-2024-003,Global Manufacturing,MATERIAL-002,500
ORD-2024-004,BuildRight Construction,TOOL-001,25
ORD-2024-004,BuildRight Construction,TOOL-002,15
ORD-2024-005,Premium Solutions,GADGET-002,50
ORD-2024-005,Premium Solutions,WIDGET-002,60
ORD-2024-006,SmallBiz Supplies,SUPPLY-001,100
ORD-2024-006,SmallBiz Supplies,SUPPLY-002,50
ORD-2024-007,MegaCorp Ltd,WIDGET-001,210
ORD-2024-007,MegaCorp Ltd,PART-001,350
ORD-2024-008,Innovative Tech,COMPONENT-001,200
ORD-2024-008,Innovative Tech,COMPONENT-002,300
ORD-2024-009,Local Retailer,GADGET-001,120
ORD-2024-009,Local Retailer,PART-001,200
ORD-2024-010,Enterprise Solutions,MATERIAL-001,800
ORD-2024-010,Enterprise Solutions,EQUIPMENT-001,20
ORD-2024-011,Tata Engineering,STEEL-001,900
ORD-2024-011,Tata Engineering,STEEL-002,650
ORD-2024-012,Aditya Builders,CEMENT-001,500
ORD-2024-012,Aditya Builders,SAND-001,1500
ORD-2024-012,Aditya Builders,BRICK-001,3000
ORD-2024-013,Flipmart Retail,PACK-001,2000
ORD-2024-013,Flipmart Retail,PACK-003,600
ORD-2024-014,Ambuja Projects,CONCRETE-002,180
ORD-2024-014,Ambuja Projects,STEEL-003,700
ORD-2024-015,Reliance Stores,CABLE-001,900
ORD-2024-015,Reliance Stores,SWITCH-001,450
ORD-2024-015,Reliance Stores,AUTO-002,300
ORD-2024-016,Bharat Logistics,PALLET-001,220
ORD-2024-016,Bharat Logistics,PALLET-002,180
ORD-2024-017,Vijay Trading,TOOL-003,95
ORD-2024-017,Vijay Trading,MECH-003,250
ORD-2024-018,Delhi Wholesale,PACK-002,750
ORD-2024-018,Delhi Wholesale,PAPER-003,1200
ORD-2024-019,Infosol Pvt Ltd,AUTO-001,45
ORD-2024-019,Infosol Pvt Ltd,PAPER-001,135
ORD-2024-019,Infosol Pvt Ltd,CABLE-002,120
ORD-2024-020,Ganesh Enterprises,CHEM-001,540
ORD-2024-020,Ganesh Enterprises,CHEM-002,350
ORD-2024-021,DevAuto Components,MECH-002,180
ORD-2024-021,DevAuto Components,MECH-001,260
ORD-2024-021,DevAuto Components,MECH-004,400
ORD-2024-022,Modern Foods,FOOD-001,1500
ORD-2024-022,Modern Foods,FOOD-002,1000
ORD-2024-022,Modern Foods,FOOD-003,1700
ORD-2024-023,Bikaner Sweets,FOOD-004,250
ORD-2024-023,Bikaner Sweets,FOOD-005,500
ORD-2024-024,HealthFirst Pharma,MED-001,220
ORD-2024-024,HealthFirst Pharma,MED-002,330
ORD-2024-024,HealthFirst Pharma,MED-003,180
ORD-2024-025,Sharma Stationery,PAPER-002,2000
ORD-2024-025,Sharma Stationery,PAPER-004,1500
ORD-2024-025,Sharma Stationery,PAPER-003,720
ORD-2024-026,SteelKing Industries,STEEL-001,900
ORD-2024-026,SteelKing Industries,STEEL-003,700
ORD-2024-027,Amrit Textiles,TEXTILE-001,1200
ORD-2024-027,Amrit Textiles,TEXTILE-002,350
ORD-2024-028,TechPlanet Solutions,EQUIPMENT-002,15
ORD-2024-028,TechPlanet Solutions,CABLE-003,50
ORD-2024-028,TechPlanet Solutions,GADGET-003,200
ORD-2024-029,FreshMart,FOOD-005,700
ORD-2024-029,FreshMart,FOOD-004,950
ORD-2024-030,Speed Logistics,PACK-001,1400
ORD-2024-030,Speed Logistics,PACK-002,2700
ORD-2024-030,Speed Logistics,EQUIPMENT-003,50
ORD-2024-031,Metro Cements,CEMENT-001,1000
ORD-2024-031,Metro Cements,SAND-001,500
ORD-2024-032,BlueSteel Pvt Ltd,STEEL-001,450
ORD-2024-032,BlueSteel Pvt Ltd,STEEL-002,650
ORD-2024-033,Bright Electronics,GADGET-004,200
ORD-2024-033,Bright Electronics,GADGET-005,180
ORD-2024-034,Mumbai Tools,TOOL-004,95
ORD-2024-034,Mumbai Tools,TOOL-005,160
ORD-2024-034,Mumbai Tools,TOOL-003,120
ORD-2024-035,Raj Pharma,MED-001,800
ORD-2024-035,Raj Pharma,MED-004,400
ORD-2024-035,Raj Pharma,MED-005,900
ORD-2024-036,Bharat Automotives,AUTO-003,140
ORD-2024-036,Bharat Automotives,AUTO-004,50
ORD-2024-037,Gujarat Textiles,TEXTILE-003,2000
ORD-2024-037,Gujarat Textiles,TEXTILE-004,1500
ORD-2024-037,Gujarat Textiles,TEXTILE-005,1800
ORD-2024-038,Surya Foods,FOOD-001,900
ORD-2024-038,Surya Foods,FOOD-003,700
ORD-2024-039,Himalaya Traders,FOOD-001,600
ORD-2024-039,Himalaya Traders,FOOD-002,400
ORD-2024-040,Galaxy Components,COMPONENT-001,300
ORD-2024-040,Galaxy Components,COMPONENT-003,500
ORD-2024-040,Galaxy Components,COMPONENT-004,450
ORD-2024-041,Shivam Metals,STEEL-003,900
ORD-2024-041,Shivam Metals,STEEL-002,650
ORD-2024-042,Bharat Ceramics,TEXTILE-005,1500
ORD-2024-042,Bharat Ceramics,BRICK-002,1700
ORD-2024-043,NanoTech Systems,GADGET-003,300
ORD-2024-043,NanoTech Systems,SENSOR-001,250
ORD-2024-044,Rajasthan Mines,SAND-001,1800
ORD-2024-044,Rajasthan Mines,BRICK-001,1200
ORD-2024-045,Mahadev Power,BAT-001,300
ORD-2024-045,Mahadev Power,BAT-002,80
ORD-2024-046,UrbanStation Retail,PAPER-002,2400
ORD-2024-046,UrbanStation Retail,PAPER-004,500
ORD-2024-047,Star Plastics,PACK-002,1500
ORD-2024-047,Star Plastics,PACK-005,900
ORD-2024-048,Kolkata Hardware,PACK-003,4500
ORD-2024-048,Kolkata Hardware,PACK-005,4200
ORD-2024-048,Kolkata Hardware,MECH-002,3800
ORD-2024-049,IndTech Components,COMPONENT-005,700
ORD-2024-049,IndTech Components,COMPONENT-003,850
ORD-2024-050,Mysore Agro,FOOD-001,2500
ORD-2024-050,Mysore Agro,FOOD-002,1900
